image_number,nuclei_object_number,center_x_mean,center_y_mean,effective_radius_circle
2,34,499.52241819918265,536.3067051681757,19.871136489497637
2,35,380.7168265898926,532.8518855794426,22.618637563674792
2,36,264.8155802329713,522.7664732208209,24.017529740743452
2,38,310.3013342509132,636.1066691969914,20.1881492117202
2,40,463.8085029970829,633.1290651646757,17.317313446465707
2,41,244.52186040018495,695.9775618669477,16.725060368582643
2,42,88.37925273496205,684.777181603479,20.109895864252227
2,45,433.307928104575,764.8822773109242,21.815056754778826
2,47,308.0144287033063,813.9769916408172,18.543723265919652
2,48,412.5,883.0,0.0
2,49,321.7417311995647,926.5975217060508,13.10754692738807
3,2,281.4158008658008,135.945238095238,9.47854361456336
3,3,308.5847222222222,197.1604166666665,9.298386311465839
3,5,314.875,197.875,0.0
3,7,1101.156031746028,380.15492063492036,6.85493569547116
3,10,223.68912790871713,448.00667620414913,23.776920505006206
3,12,657.0148049118634,468.6611181846474,15.767412413124001
3,13,456.04322941894685,473.48449315521066,19.538258754860422
3,15,616.7583864924725,583.7248944055765,27.635324356291342
3,16,31.572268074914565,640.2138710974249,25.732688805713053
3,17,715.156290849673,729.8589869281044,11.256490346943197
3,18,785.6204585537918,747.9466490299822,15.109888779437263
3,19,681.3733751542574,758.9923406250609,15.125698227291677
3,20,522.4306781050735,789.7823190518906,22.179476595231105
3,21,398.04459861775626,793.8246738329894,23.59970806729707
3,22,757.2045454545452,799.5768398268397,12.714543881162308
3,23,327.3406999815429,848.4273867201919,15.25363015836988
3,24,159.0,839.25,4.447221354708834
3,25,394.56477565644207,883.9025509469952,35.38787154088047
3,26,558.0781430095093,886.8943286010056,18.26466907734697
3,27,816.7335778855002,927.0529371026718,13.424503474520217
3,28,77.3,875.85,9.442692647992237
4,2,532.1892207288594,132.03713231742975,18.12162278585984
4,3,634.9628646705258,133.95736257289386,27.16679090068583
4,7,584.8095238095237,204.30476190476185,16.339023489381173
4,10,679.2659022382204,290.32126531356613,15.45638048515889
4,11,1157.0,265.0,0.0
4,12,885.9,290.6,12.246360003418857
4,13,730.9619047619045,306.9997493734334,16.241441098244298
4,18,1066.6130828630817,436.8136232871526,11.18920022854658
4,20,225.29166666666652,502.95833333333326,8.452481555404013
4,21,228.7304997918679,605.6212680688423,22.204679105975924
4,24,1046.0,770.0,0.0
4,25,711.5884918261561,783.3752492025517,12.498514858080462
4,26,559.5510941043083,811.2757086167801,11.250230075888723
4,28,342.06568627450963,830.3907563025208,12.812334450756827
4,29,612.1430636540327,877.1507653061225,14.312981458445183
4,30,539.3885207671583,879.7898064680415,10.449767027946342
5,2,374.76465976784147,181.03066743021276,35.78256195223938
5,5,195.29453601953585,604.1488095238093,38.58940555237954
5,9,356.6044186890485,859.3261894177925,27.349485224566926
6,1,710.2142857142856,345.642857142857,2.5907562873783676
6,2,126.97437594108762,381.52228319687526,22.614907252103244
6,4,455.84762914230004,655.1442115170403,22.171914673166164
6,5,436.86864216851586,956.2473592095068,16.9704567062786
7,1,584.2631169057737,84.79121042818912,17.818044502266307
7,2,692.6342656222819,63.987053341721314,25.03699144945874
7,3,72.37947550161506,122.3390042261321,18.42635963289814
7,4,105.48049731816192,221.55065620773513,21.921236271517664
8,1,496.3730392156863,83.59901960784315,26.90845148678328
8,2,679.5825068366008,133.92119897158724,27.979033449641864
8,3,795.0555555555552,115.14814814814785,9.968705796634966
8,4,284.39902032513976,129.70024543761042,16.845313535369122
8,5,283.90233711327636,189.8830111888374,22.84085280684711
8,8,988.7219777937011,313.97044955449866,12.340643826799656
8,9,265.12,350.06000000000006,11.555008534061129
8,10,532.0150827196748,283.7371448420297,21.672370507062723
8,11,1199.2063492063476,382.06547619047603,13.391635256820173
8,12,97.84444444444436,440.7999999999996,12.60496124591289
8,13,789.4483829895594,454.12104660045816,26.521458092058555
8,14,412.291705571117,465.5449735449733,24.231258093939385
8,16,1017.524433426909,552.4773017144532,22.962241823451837
8,17,659.5833333333334,622.75,23.017974726153486
8,18,339.0177521386638,641.9408307480046,33.5399888150063
8,21,250.6127840779372,690.3442174362355,19.40016881136578
8,22,642.6,690.2,34.563950391509024
8,24,1197.3891156462573,723.895238095238,9.97689382703709
8,26,171.76747191039942,730.6239308145558,31.2272224000762
8,27,564.8790854300837,788.5172880442358,23.53483639748503
8,29,816.5802301090381,805.2576618536501,25.008548764574567
8,30,445.5334455040265,816.7451379865431,27.676682396029985
9,1,75.29166666666666,60.685416666666654,10.595501170861702
9,6,39.348282153723176,161.72261075641927,18.391374034656376
9,7,363.1970815468421,204.7306313760823,19.002465978656478
9,8,502.1472250737415,253.1474316193064,32.07028376464951
9,9,119.19014520338023,250.84885950106516,11.954483454813118
9,11,219.7953590527119,265.01928953399533,9.732338809975937
9,12,586.4650931516298,277.108562187338,9.789197753014648
9,13,543.4849572847785,331.54850388698594,15.898919685905762
9,15,350.1720016680891,400.45009435616805,14.355577272758167
9,16,449.0878203865276,352.1974202291228,29.215853844747784
9,17,291.0039701887883,398.54405892838395,15.853384322091085
9,18,194.208661389245,431.09247578480534,7.532377493782796
9,19,415.2527545351186,431.5585522765277,21.57189378644432
9,22,275.408133423896,454.639861190899,34.669811321888936
9,23,553.9476678004269,492.65435888897406,26.555872560024667
9,24,189.92415600999755,516.9213503971346,38.98954156322587
9,31,208.255178907721,716.9557438794724,8.242905129533085
9,32,507.4856232770165,805.7101239812704,33.14102225032212
9,35,99.83333333333333,796.3333333333334,10.05662977687547
9,37,550.4945008229641,894.1756367879624,12.510934567101678
9,38,357.0766666666666,894.5244444444445,24.11498791157328
9,39,477.6004798099936,917.9996813560068,24.12012380755361
9,41,545.6,930.8,0.0
9,42,716.3343727909515,944.4299675470726,14.793529840846798
9,43,357.36666666666656,994.6007936507932,6.874571716810492
9,44,268.12312594812573,967.766492874327,22.999250003793108
10,1,493.2897241811858,105.39381396851714,17.185516135485592
10,2,330.44934229419135,71.13519002913465,20.165352361417362
10,3,85.60952471322534,156.46699565967631,24.204252409294554
10,4,600.8293817846211,200.48545494099955,25.236991264432724
10,6,469.33266225474637,186.4386089594872,37.11550418821176
10,8,1197.1666666666652,303.6666666666665,11.644953339173897
10,9,975.380753968254,331.67420634920626,15.606059069253496
10,10,817.891984126984,311.6054126984125,36.33885062708585
10,11,534.9771547878131,336.1197093985155,29.660177606198367
10,13,712.8505952380951,393.17595238095225,22.638093213623605
10,14,759.4544618100409,435.7477430092136,26.98810170235806
10,15,491.56816027574666,447.68947529503885,23.661146407122683
10,16,1068.5,428.3125,6.140711142313592
10,17,1166.7074074074064,494.16481481481486,20.570014563965202
10,18,526.6666666666666,488.9333333333332,58.00624913120734
10,19,38.54554080179079,545.0493920431419,21.40026365098758
10,21,636.9878041431074,507.6836508693918,26.373847550171476
10,22,216.5,534.5,0.0
10,23,470.3333333333333,576.8333333333334,15.751151241484067
10,24,1000.0,602.0,0.0
10,25,167.11812138211803,581.8694038623256,28.168467038221024
10,26,597.1089866002911,632.3764479363377,20.961530230172688
10,27,859.8385512613282,650.6632521615769,18.710087300856586
10,30,924.9268435371374,806.0973510194095,25.536305692051762
10,31,274.6208691418068,822.9830476712443,15.24999018077359
10,32,184.28920874044988,846.170601291877,17.385275810349942
10,33,782.9717553688139,922.6080765639589,9.77685613377403
10,34,1190.644058107278,894.3019269671977,20.160268388600063
10,35,920.2437574671444,905.301469960744,15.632067504956773
10,36,552.7493276212168,956.9594675497555,20.15690034809086
11,1,109.21558441558426,19.866400266400245,9.693976590726262
11,2,338.3114725742727,113.34486604959983,22.090850696126626
11,3,814.3586302224911,95.55428187093135,37.89405288555578
11,4,162.9856254856253,92.39624264624261,21.733712526496074
11,5,266.88583234575856,92.63473193258407,22.693602629745094
11,7,192.927340864767,201.18426808608515,23.347249678457963
11,8,373.4771679828887,215.03072483127642,32.555135216178684
11,10,817.9447414800721,298.624204138971,22.06776385397674
11,11,326.94342166653473,332.61229573984735,26.243030444883132
11,13,556.6319897574514,360.1970009805959,34.42237991841406
11,15,658.8061708216405,448.2714045207789,26.885633313852995
11,16,550.9538693306106,499.5497344631631,23.35567812930931
11,18,1173.567614490771,564.62967190704,15.812198620726631
11,20,628.7964285714285,578.6255952380952,14.759955708504384
11,21,724.1106277981273,583.613146113146,13.775042256364342
11,22,651.5969835557553,698.0515456197472,14.562045787004335
11,24,507.67619047619036,684.9938624338624,23.74640299418183
11,25,821.0093821460985,733.8056025712735,31.453037927624372
11,26,408.8051489621488,737.888349206349,25.684744462201547
11,27,1026.4470015983813,742.2397657923007,16.81855418121036
11,28,499.8257811352159,799.6807909315772,26.97264266376169
11,29,118.8853247573662,766.3359235250682,21.54680705563827
11,30,160.38459639701742,807.7110551106451,20.97972392892157
11,34,164.80695970695953,889.7146520146517,18.422345021139233
11,36,265.68992883163247,893.3085748335328,30.685426756181005
11,37,418.6576346360047,927.8391707812997,32.76469427931431
12,1,621.3943696581194,334.4312053224551,12.017973642555775
12,3,498.3109273251105,386.543860243892,17.039563149591736
12,5,570.2473770145738,397.0694597288189,16.056437525722526
12,6,706.7944934215493,497.44953699652206,13.965341162246563
12,7,800.1724676040802,513.8780838158256,11.621310938520452
12,8,616.7059462985226,504.927871181047,27.055269298150264
12,9,674.9719672907579,562.4009808697715,14.469318279414878
12,10,367.61028980823085,610.4579465632406,12.343541021199993
12,11,853.0,592.15,4.431202495435797
12,12,722.6930839810657,606.0570050059981,27.531273658805652
12,13,234.3222704806708,668.8793439434334,62.7472248408429
12,14,157.24951879038804,709.4929822291232,23.33644384723307
12,16,358.25386539577704,761.482910411219,22.120142978460283
12,18,332.38722550748673,875.748433447453,23.90595095041165
12,20,70.21333333333332,954.4933333333335,14.300064749918295
13,1,1077.3,34.4,10.119288512538942
13,2,972.0487376725837,79.75483234714002,27.304692078809907
14,2,1244.0,181.5,0.0
14,4,1122.20238095238,233.53571428571416,21.51242851234749
15,1,241.05838693897488,58.88491140461726,13.364481977511192
15,3,711.7183365218682,194.99998497349662,21.162764147155297
15,7,939.1671290545202,345.8688060731536,10.972380170424522
15,8,361.00437199428575,390.1892149634713,24.62062507014383
15,9,642.2814916124697,419.0795791839268,21.44340466931699
15,11,838.0704189749642,464.1961553597916,12.411289693558365
15,12,959.9777777777776,460.148611111111,10.62858783125456
15,14,1139.9048941798924,535.1746031746029,9.883771139526589
15,16,371.89358222455627,586.4746170343135,13.626978985930975
15,18,732.5377602035081,742.0983747813245,19.027549578072847
15,19,223.8464219114218,724.9194405594404,22.98894174930988
16,1,695.7533333333332,20.07333333333332,16.386251388524048
16,5,1054.5427669552655,224.23067279942268,17.57825528922324
16,6,740.2594627594626,267.93162393162385,26.38577630565266
16,7,160.48189917353517,281.13245935649724,31.40140005103444
16,9,395.38536311728865,315.3459588927828,30.10853503589592
16,10,699.6144256508109,336.54881699518205,27.746817826498702
16,12,372.2755771006463,405.4273776546629,21.235923798844954
16,13,809.037037037037,409.1481481481481,19.555680258986623
16,14,815.9451278254245,523.2799341821288,25.9912644534338
16,15,141.61666666666667,505.31666666666666,20.636058576682167
16,16,1003.8925925925911,480.88787878787855,13.879734034565839
16,17,533.9444444444445,562.0,47.8401545157188
16,18,983.2954829536895,587.6069426304244,14.518377613947838
16,19,284.5282154127858,594.7734956263205,22.070471521921455
16,20,836.5657169990501,593.9217948717946,9.790627684443391
16,21,1097.6207977207935,577.1578347578343,8.99527883648595
16,24,248.18888888888887,694.0365079365077,41.314407303419955
16,25,1000.7083333333301,671.4166666666665,4.237545294554941
16,27,494.0,684.0,0.0
16,28,758.1249999999998,674.3749999999998,13.951857259435375
16,29,910.3308358308357,686.1682484182483,10.121071937894055
16,30,556.4034013605441,712.8937074829931,20.616319494792847
16,31,642.9190476190475,745.1552380952379,17.858907789088832
16,33,470.8983311587836,801.2319025442947,29.211911039196707
16,35,682.525,898.1125,19.718505127023555
16,36,1214.33333333333,912.666666666666,0.0
16,37,429.2440476190473,910.4821428571427,12.392282158362534
16,38,357.6680708180707,932.079548229548,14.2589890504824
17,2,59.5,98.0,0.0
17,3,706.4239800267932,93.03041042503956,22.10515452385224
17,4,333.1375,169.4125,11.664523612694795
17,8,625.1624212426269,257.8239984576825,22.968878136899292
17,10,1000.6666666666646,322.56666666666644,14.825536860762435
17,11,781.5879872542648,354.74639503091464,21.95483873030028
17,12,874.8666666666667,382.40000000000003,21.002057512374765
17,13,1184.1471639471613,385.51973970473944,10.893760220225914
17,15,644.4824324324325,499.5741554054054,10.855964580218988
17,17,1147.1171254399185,612.2971907993966,10.657177155366432
17,19,625.0941525511522,649.1109933769932,15.239663995645488
17,21,409.2875,665.4875,5.423713365091074
17,23,870.1884818884818,680.1836182336182,12.940723950743266
17,27,539.458333333333,804.1249999999998,17.235836912493532
17,29,784.4399999999999,934.46,12.891451086325235
17,31,417.27076927604793,965.3734025210025,15.279565392869987
17,33,44.049999999999976,965.3166666666664,12.62722905392352
18,3,606.4887883941454,205.11115491651194,13.373670461851818
18,4,138.24253848003835,258.40224867724856,13.940050984844573
18,5,64.8333333333333,255.16666666666652,14.033469692308465
18,6,376.75,241.25,5.696002496878426
18,7,683.5,294.0,0.0
18,9,472.1965456129275,321.7074582320989,20.73602762942554
18,10,69.88138528138526,327.8809523809522,8.932656848931403
18,11,316.99999999999983,345.1388888888887,58.50944608528795
18,12,607.7322916666665,382.2546626984125,10.178378091459843
18,14,221.4,395.1,44.76824271239163
18,15,462.63,467.11,23.155589677944867
18,16,29.716666666666658,436.9999999999999,20.72657982184051
18,17,308.2257610683161,527.0867647666704,18.69715662492187
18,18,1169.3133950193821,506.7705018613156,12.59553266431362
18,19,216.11666666666667,596.1166666666667,8.161941187647637
18,22,668.5639154355779,628.0727193525917,27.702919335119525
18,24,110.80676547226744,731.0302123273242,21.47180927401022
18,25,1137.5652180458421,759.9763532953972,17.58185806639859
18,26,111.00506482507974,776.9861730105933,15.000380599766178
18,29,786.0254008755285,956.1727539487127,18.90118412550864
19,1,997.8888888888887,47.11111111111111,8.157570309888685
19,3,483.6924385309678,122.07497159975082,15.570767475556666
19,4,581.0,134.0,49.78174587358588
19,9,692.0809523809523,297.42663690476184,28.36784102964459
19,12,372.6388888888887,333.11388888888877,42.324719968819615
19,13,396.98333333333323,392.1666666666664,47.17840058206276
19,14,301.19444444444434,383.36111111111103,35.30645767222795
19,16,485.7455960312553,447.9685461282991,32.75251497016261
19,18,827.3051099227567,494.8273458567572,43.67655494747439
19,19,50.37719298245614,488.1829573934836,35.86756027386573
19,21,568.3766666666664,484.19666666666654,24.943848050282416
19,22,396.26508875739637,478.9636235559311,26.97621347848839
19,24,751.9464253695022,544.5396718665947,28.540155732710005
19,26,998.6702380952378,545.618253968254,12.092859802191231
19,27,537.4487179487179,570.2179487179486,33.25706813452456
19,28,876.1969276094273,658.113558201058,30.7846776774576
19,30,971.20861791013,661.7859869179338,16.026763831734257
19,31,645.4151004111037,715.9831697584648,18.62104534350515
19,35,853.6888888888889,747.9833333333332,11.756678048581689
19,36,947.6333333333332,750.8833333333332,13.044728370939742
19,37,601.3632867132866,756.1439102564102,23.93092359619693
19,38,783.0,760.0,0.0
19,41,963.9,799.0,3.775947268935062
19,42,869.4126984126983,861.3238095238095,27.611498897455814
19,43,735.6730086580083,853.1563095238092,35.9263450982022
19,44,354.57976190476177,833.7080357142856,15.613301617203753
19,45,449.8629629629629,917.6074074074074,33.35949225052678
20,4,174.0,80.0,0.0
20,5,443.0064285714285,125.75071428571417,31.296830772896666
20,7,676.878540662236,154.61791397008767,21.679629994656345
20,10,670.185185185185,208.85185185185168,45.384113144981185
20,11,494.2437499999998,221.86970899470873,24.057191897258456
20,12,597.9464782334696,239.7676870931778,32.50548250916837
20,14,783.2142857142856,236.73265306122428,12.455039618084353
20,15,667.8114592886757,330.82674297780403,28.452800371488628
20,18,743.9866666666666,337.0266666666666,22.30856116459743
20,20,262.6239099605823,438.11388052601825,37.64712665891988
20,21,359.0166666666664,435.23333333333323,35.96772215524722
20,22,452.37642857142856,437.7200000000001,14.355030374476966
20,23,557.8406610911986,489.7926703457168,38.74690261212787
20,26,517.3499063475613,523.056008660763,39.7990059656218
20,27,621.7047619047619,565.4619047619047,40.47003584289776
20,28,319.5185185185185,550.5925925925926,45.41448934092817
20,30,549.122268907563,627.394257703081,27.643364205614194
20,31,897.0,633.0,0.0
20,34,444.8503838209717,668.9760131460055,21.737055235101494
20,35,834.4357435092898,663.1401670358064,11.8982048883264
20,37,950.7612121212118,746.4618181818179,36.36196485496157
20,38,336.4802631578946,711.1377192982455,39.16347590302709
20,39,831.9039098972922,751.8467787114845,21.79795003915597
20,40,769.9833333333332,729.6214285714285,26.82112485943018
20,41,632.655842402837,765.570671549252,38.0133577501809
20,43,402.8749999999999,790.6249999999999,34.912766068702375
20,44,1066.0227272727268,779.272727272727,10.364108914739836
20,47,490.45238095238085,846.5884353741495,47.759006500980156
20,48,834.0,870.25,11.785113019775942
20,49,661.5,867.5,0.0
20,50,142.7698809523808,923.2563095238095,18.270893853534076
20,51,1060.7458039663481,907.4305310185753,12.376788890241018
20,52,256.53333333333336,889.6666666666666,33.71713855146658
20,53,334.0650919627108,911.3354119425545,24.885075567716395
