image_number,nuclei_object_number,center_x,center_y,major_axis_length,minor_axis_length,orientation
1,4,331.349591552539,61.57956159767892,13.370831745106713,18.27948382623563,-71.41589953041999
1,6,481.04383271057986,126.93433828864357,23.536261478983974,40.42857660527612,-285.3936749089212
1,7,628.3135444514937,112.92220289288827,11.999643949637248,21.47949062889952,20.249407516135683
1,8,258.2597636389137,108.22371084025114,4.701958472128994,8.168374899751196,-29.34593590303079
1,9,524.9476197500496,126.44846425629979,14.237659669438727,16.40420492725891,-20.31983500026831
1,11,78.94530639334468,168.98508048647966,43.970717012458344,46.42221394686537,-11.14405844528351
1,12,201.3024728443387,165.03456939217793,14.520508553323168,23.32246849283875,21.569742095849186
1,13,580.1245333424741,171.41116532180843,9.565178564874119,36.352539275483146,44.40527062670081
1,14,408.377866113736,214.88537428500547,73.17765560625803,88.45449095543559,-296.20477607845623
1,15,262.36296508102754,235.37838290874748,22.161783713459688,37.74891061688607,-278.05202991063993
1,17,307.2902717401274,291.7883065794823,7.872976411246628,10.760151081835186,1.5354227802010225
1,20,695.6861153267635,396.1203968627724,36.05534798959131,56.37147731451848,-58.23597595478145
1,21,432.95011813514895,425.1643010670475,41.74400521476475,48.3802720375982,9.373149269944332
1,23,486.8129025901238,483.7885548554377,30.617792218259666,69.90485445820578,-49.92572205909233
1,25,601.0916024819246,614.6546214020351,34.893902943005784,50.354504821497976,14.993129669172745
1,26,,,,,
1,27,1057.3628081148881,661.0990968827637,17.053099020220582,35.07333988992368,27.793786179510047
1,28,694.7594464914374,676.845912745477,13.845700504229853,35.58320298203987,32.221420317023934
1,32,627.3094386832281,711.8745953739189,18.377756353002596,28.4592224433105,43.49702495716941
1,33,242.98922410864026,791.1974079632455,15.352162201294124,16.80403672709994,-53.40596915062363
1,34,475.6250748139052,777.3282837303135,10.829398415503022,18.638594154871694,-5.2535005127520495
1,35,138.92455093673837,804.8754102554428,13.353706359957075,27.61635006785883,-46.15615269775323
1,36,435.93159542633725,826.6070935145833,25.204945118725917,52.64753992055217,3.158634313787625
1,37,187.13954536325951,839.6682064141614,10.41707471510622,27.639800002484805,-33.2811618479567
1,39,647.0378952035048,891.5469869177061,22.552164880255248,55.48341484736012,-3.907601944284178
1,40,458.4351717449897,907.095971667277,15.422133709621411,21.88520773011882,-52.17423055321619
1,41,176.0080461045509,901.6357460623087,12.981519796715476,30.54484503115281,-69.90070611510274
1,42,33.38399118851317,918.3596703935316,10.849031829026693,14.13255397625353,-308.6981567855037
1,43,663.1440101438938,936.7172623200809,7.745378122194204,19.547110405598232,-4.872838283169766
2,1,235.91452998779283,46.99265297875034,10.542025771260011,23.333720247771566,-57.94272017500255
2,3,156.93784721006352,104.09556367048303,10.709001765149978,21.600607158422893,-304.4766600097141
2,4,59.55363583075608,114.55063983223445,11.373620195277205,23.91437938916992,-78.62079832033076
2,5,256.1213425945888,153.57266681466774,20.968268668746735,30.292037905030117,-8.135630291269205
2,8,527.6847376916777,161.24189264061863,18.673187401872354,21.492800755983748,-16.54285576645015
2,9,326.7019872256905,174.9625282174514,18.317407466536714,26.141093175428445,-306.4353212910812
2,10,130.34947558027838,179.00013257764488,16.818420751093285,21.761457297709743,-82.66123167756841
2,11,728.8190684434562,237.27985988742097,21.12384746809154,45.256739436919595,12.30029448953437
2,12,170.43122990594705,233.62981256620583,11.891572854847729,17.32776076013203,-311.48203473059607
2,13,340.9367975871937,235.36563719574985,14.953177742412763,28.41337053085586,-9.915189214856701
2,14,532.1908710049307,268.35872190539266,26.192819531164055,41.80715464692546,-49.527390301417995
2,17,780.3473964657808,289.787711857291,21.441156391730402,31.29368854740134,-75.59662697270208
2,18,424.15876543877033,283.2304248190635,12.653292792381874,18.198149175595844,7.619027845409405
2,19,609.4689710900798,316.63393035419597,17.43776514532871,38.11625835249073,-305.4658624120089
2,21,281.36294245489455,314.62766829796396,33.19290625038885,47.21739503710363,-41.16277094212085
2,22,729.7862838754315,345.0838064480793,15.450994686175234,18.42932188108565,-310.14808358399034
2,24,460.4950359098982,374.1402271417876,28.233052287178307,61.21247626450068,-59.78768392990075
2,25,399.7719519563355,378.3671057442032,32.9082860648547,62.85451724411853,-48.255624688277855
2,26,95.68995141163225,376.5117233838978,11.820610727030903,15.847615331633584,-288.3383322998893
2,27,638.5585950279083,406.1392017412795,15.589751728805153,17.81018005376649,-272.0108341064384
2,28,288.221563928501,397.495045969505,18.123505975050854,25.3998581000032,-73.99058033472953
2,30,341.2528536571611,447.72267303442794,24.556653716603538,42.86124733200052,-312.3381438287826
2,31,225.98391557229968,476.38364713168494,37.73800569644786,72.06926609218768,33.09319421212972
2,32,418.67137185029776,475.3065858959884,19.314707341993273,23.10608531838,-311.05073621797726
2,33,595.538312464008,460.68332925952086,8.957100336253115,18.782634687265016,-2.542515400540797
2,34,501.21222109168673,536.304185267044,28.2358054294922,38.96409362108339,2.4463879399667263
2,35,376.2139218195015,525.9444747790262,24.38418073627539,48.373760181266164,-76.09773518875852
2,36,272.64626358108694,533.0711153587047,22.274779844586806,66.12042258493256,-55.539008584980785
2,38,315.3866336031377,633.151547928227,31.381146315539436,34.0558406555845,3.3606174400458104
2,40,462.32141760016395,633.2372341769856,16.25278778051148,29.063525237960807,8.77656153414262
2,41,243.05868243716435,695.8649385158087,22.791806230399036,31.70518278236576,43.193092768607265
2,42,88.69162633426087,682.7373187853343,17.490124921118813,41.58614960366961,-288.0706520898359
2,45,435.1971769747777,765.4841771618924,31.579205626844274,33.961677465586114,24.156527369085154
2,47,308.8804801758098,813.1051765939571,25.61505825466292,33.62932871935827,27.183932424337865
2,48,,,,,
2,49,322.28159286288496,925.6930351440371,13.079168948304279,23.6735245306107,-41.71149127262467
3,2,281.1984272708477,135.67757913882258,9.547985740393875,15.532200633221551,-36.40795041359364
3,3,308.73649727730196,196.13880627214215,6.519642070505939,16.870428372810718,-285.9525377142508
3,5,,,,,
3,7,1101.6135092102895,380.71523634649674,6.166689514947168,10.10608884015849,-288.28024777148084
3,10,233.1184478259738,455.7986727632226,27.346048545709753,65.0198128921113,-44.11321438530231
3,12,656.6895560626341,466.85019639170406,15.894181025607226,29.95386634200033,-281.16238502102897
3,13,457.5010107943117,475.68492678417545,27.324941431930593,34.052333740127295,35.93742218539812
3,15,617.901011067607,583.6680270805903,45.61762712137201,59.67234550886437,-78.94337270541804
3,16,32.05061152801481,636.4612695396279,21.23454178304734,61.96104127768885,-67.86336322288582
3,17,716.3273945883628,731.0118777457456,9.534368981899037,19.363077920854717,13.56922518241518
3,18,786.2425661140492,748.8136412102542,20.022633519181767,27.529757337346524,-83.82527813670933
3,19,683.1182536569776,757.7019955910627,16.055304228628092,28.532905112751408,16.201407600333965
3,20,524.0805202891394,788.09398710825,20.67639697708024,38.73401297721882,-80.98350958365702
3,21,395.7297861992614,803.4080042831381,28.172780955819174,52.92754825728951,-270.5371668121578
3,22,756.9540576756312,800.4728952745215,9.08282926725926,18.764219225391145,-46.296274322583436
3,23,325.7507226433801,849.2834301562664,19.533479787725078,21.41774767371587,-72.09285333684433
3,24,,,,,
3,25,402.6182393886228,872.8245192378386,28.912949233212203,76.19131534232899,-306.248798143544
3,26,559.1218282506696,887.1354970363215,26.14719407978574,28.691802835740344,-314.6281320389055
3,27,817.9281512471757,924.5562622102374,12.922639126271966,23.493497504198206,23.704034006056375
