image_number,nuclei_object_number,center_x,center_y,major_axis_length,minor_axis_length,orientation
1,4,330.9897105488451,60.47913006295955,22.552797370402814,15.589208907219959,-78.69640826502051
1,6,481.61206459561055,128.71263172853287,34.86815643488691,22.963879760045884,55.9881821317295
1,7,628.586111111111,112.44444444444434,28.64222256456773,11.119454517193985,16.59194891207686
1,8,258.9166666666665,108.20833333333326,14.357573920146821,6.443037661995089,-23.800372999381963
1,9,525.7462497819639,124.63079539508092,19.665623563939864,15.23936787331931,-14.61245403011688
1,11,77.89814814814814,165.14814814814812,50.24759185214815,35.820941401255396,15.80889187262396
1,12,200.96188811188793,165.23668474382742,36.248835239909646,9.981731592340742,22.62886239251904
1,13,578.7291666666666,173.14583333333326,40.281301313888065,11.67803444821757,40.96687583630478
1,14,406.68645889949926,200.5724465394434,95.35746934170625,50.3241392439092,81.8683634539948
1,15,260.6575993185441,232.3336913418849,43.60816133558884,20.01885956875761,72.05648517125088
1,17,307.47785250463784,291.61974335188586,14.601864098869747,10.479772977653072,3.5296395211509264
1,20,692.4660431807555,394.9523603496393,44.311559307205414,34.76240309746596,-28.557224661202035
1,21,431.9468798844626,422.34665421667364,51.922212641087846,30.977962095796563,27.104496040427833
1,23,479.03203782180344,478.12003871670566,86.87480554396512,21.243403743523274,-49.60146081071346
1,25,601.7956350599205,615.268142028856,52.81746365155803,27.0820567582997,47.08487611201895
1,26,,,,,
1,27,1059.721786593178,659.7119090524197,37.68183534614153,15.349969933100812,38.84441065588584
1,28,693.0411986619487,677.245884835087,44.34662952096934,10.729020425444794,32.65191605716947
1,32,627.6150512875738,711.4586228692722,29.474726090090993,17.485647632693343,53.62524991743294
1,33,243.63329692310512,791.6144290507528,20.40117001679558,14.42936854987732,-37.13861227695505
1,34,475.63333333333316,777.0249999999997,26.1191610665473,10.605351564193333,-15.59752988539428
1,35,141.55058469442514,806.2733475193619,29.522491075585037,15.129322859974607,-53.28763463344312
1,36,438.1958333333332,828.961111111111,51.050248393579345,25.586485002091923,12.196773583812828
1,37,187.5985361371296,840.8150370801692,36.18417259737955,9.274150813193065,-34.8027559172416
1,39,653.1095146953281,892.1141829728057,47.87683117006322,23.831964663497416,7.90014999620513
1,40,456.4547008547007,905.8118233618233,24.047574990541936,17.969310396645987,-50.86754071067324
1,41,175.6041666666666,901.8916666666665,37.35106281940144,9.533185189193308,-66.10510812977898
1,42,33.50531614849794,917.0213170667713,17.605982598190597,14.251416833770367,48.410956389626136
1,43,664.9458333333332,937.0583333333332,22.96518431481903,9.13103284675601,-4.187169066155846
2,1,237.25490499084225,47.694740155677636,29.711915072496442,8.323045399295534,-61.81282452335388
2,3,155.8842532467531,104.16484392800169,27.747415693674597,11.531844756332868,53.73688801633273
2,4,60.88934228650137,116.48520431588601,31.316175155935376,11.716972176125147,-73.50827477872711
2,5,257.2314534687863,152.72227591343545,33.11401811255295,22.291164047812554,-20.37256702473556
2,8,528.189558313518,161.1518781234704,23.52906765862464,20.926063269109314,78.18586820782487
2,9,326.71283082029703,173.42955620131247,28.781293169730198,16.62279480574055,67.99640856885154
2,10,128.75226397345477,178.72598681997198,27.475247812156343,16.754918254005077,-75.63583335028548
2,11,731.7606770833333,235.63125000000002,53.9284907039429,21.256990293772226,12.391604994038389
2,12,169.50913810394636,235.16330840308768,26.053947017182654,12.050550876321461,33.2039014454665
