image_number,object_number,path_name_tif,file_name_tif,center_x,center_y,bounding_box_min_x,bounding_box_max_x,bounding_box_min_y,bounding_box_max_y,bounding_box_area,orientation,major_axis_length,minor_axis_length,area,convex_area,perimeter,eccentricity,form_factor,compactness
3,19,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,672.2961877,777.553801,632,711,738,813,5925,-62.09709716,79.44143162,72.12762624,4433,4555,254.4507935,0.41911182399999997,0.860399157,1.162251255
3,20,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,506.52917460000003,798.5607892999999,468,547,764,838,5846,66.63555731,81.18280426,74.77953808,4713,4807,262.45079350000003,0.389266118,0.859827881,1.163023463
3,21,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,376.3263204,807.7725181,341,415,766,856,6660,-17.543431100000003,84.62705453,70.29532205,4563,4812,266.7350647,0.5567973970000001,0.805935173,1.240794586
3,22,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,736.8870849,825.2194342,697,774,791,860,5313,86.90518502,77.63765626,67.24131779999999,4065,4194,247.27922059999997,0.499885419,0.83540134,1.197029442
3,23,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,312.7470726,843.2793911,273,357,811,879,5712,86.01841717,80.61690629,67.80561999,4270,4419,250.27922059999997,0.540903947,0.8566198840000001,1.167378925
3,24,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,165.7290685,858.6558923,128,203,820,898,5850,16.91430308,76.97156572,73.77146255,4455,4524,249.27922059999997,0.285345013,0.900918315,1.109978544
3,25,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,404.8935605,869.6820093,361,445,829,907,6552,75.71797325,80.86215091,72.14392228,4519,4691,259.14927830000005,0.45167200399999996,0.845575124,1.182627033
3,26,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,550.5495609,874.7989962000001,515,588,840,912,5256,47.18028439,74.63640216,68.06019201,3985,4045,234.4507935,0.410434585,0.9110344000000001,1.0976533929999999
3,27,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,813.4418491,897.1610706,781,851,859,938,5530,13.385528699999998,79.56947469,66.46493911,4110,4340,265.0365799,0.549783792,0.735258491,1.360065899
3,28,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,51.06170083,897.2220417999999,11,92,856,939,6723,-34.65429832,82.2262193,76.5311755,4927,5015,264.2497834,0.365683356,0.886672311,1.12781237
