ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_Nuclei_with_XISTpuncta_Count,Children_XIST_CLOUD_Count,Intensity_IntegratedIntensityEdge_Masked_XIST,Intensity_IntegratedIntensity_Masked_XIST,Intensity_LowerQuartileIntensity_Masked_XIST,Intensity_MADIntensity_Masked_XIST,Intensity_MassDisplacement_Masked_XIST,Intensity_MaxIntensityEdge_Masked_XIST,Intensity_MaxIntensity_Masked_XIST,Intensity_MeanIntensityEdge_Masked_XIST,Intensity_MeanIntensity_Masked_XIST,Intensity_MedianIntensity_Masked_XIST,Intensity_MinIntensityEdge_Masked_XIST,Intensity_MinIntensity_Masked_XIST,Intensity_StdIntensityEdge_Masked_XIST,Intensity_StdIntensity_Masked_XIST,Intensity_UpperQuartileIntensity_Masked_XIST,Location_CenterMassIntensity_X_Masked_XIST,Location_CenterMassIntensity_Y_Masked_XIST,Location_CenterMassIntensity_Z_Masked_XIST,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Masked_XIST,Location_MaxIntensity_Y_Masked_XIST,Location_MaxIntensity_Z_Masked_XIST,Number_Object_Number,Parent_Nuclei_X
1,11,6,6,504,346,501,344,502,344.5,0.477464829,6,0.790569415,2.763953196,1,1,2.094395102,3.265986324,2.236067977,1,1,1,1,2,90,6,1,1,1,0.041504541,0.041504541,0.005592432,0.00091554,0.047348003,0.010696574,0.010696574,0.006917424,0.006917424,0.006149386,0.005233846,0.005233846,0.001960624,0.001960624,0.009468223,501.9886029,344.4540441,0,502,344.5,0,502,344,0,11,5
1,12,4,6,514,346,511,344,512,344.25,0.424876091,4,0.790569415,2.256758334,1,0.666666667,2.353627376,2.828427125,2,1,1,1,1,1.732050808,90,4.621320344,1,1,1,0.027328908,0.027328908,0.005508508,0.002288852,0.035754104,0.008667125,0.008667125,0.006832227,0.006832227,0.007797359,0.005355916,0.005355916,0.001434404,0.001434404,0.008667125,512.0055835,344.2853154,0,512,344.25,0,512,344,0,12,5
1,13,9,12,509,348,506,344,506.8888889,345.3333333,0.600731442,9,0.69458752,3.385137501,1,0.75,1.664637356,3.885753375,3.16227766,1.414213562,1.092047458,1,2,2.795442891,20.30064732,8.242640687,1,1,1,0.046768905,0.066407266,0.006591897,0.000793469,0.035122566,0.007476921,0.010208285,0.006681272,0.007378585,0.00717937,0.00547799,0.00547799,0.000639706,0.001433105,0.008941787,506.9223346,345.3226104,0,506.8888889,345.3333333,0,507,345,0,13,5
1,14,3,4,498,351,496,349,496.6666667,349.3333333,0.309207662,3,0.816496581,1.954410048,1,0.75,3.234072507,2.309401077,1.414213562,1,1,1,0.707106781,1.333333333,-45,3.414213562,1,1,0,0.030624858,0.030624858,0.010143435,0.000450142,0.020861433,0.01062028,0.01062028,0.010208286,0.010208286,0.010452431,0.009719997,0.009719997,0.000371477,0.000371477,0.01062028,496.6826109,349.3467863,0,496.6666667,349.3333333,0,497,350,0,14,5
1,15,11,20,499,354,494,350,495.8181818,351.4545455,0.6746349,14,0.845484614,3.742410319,1,0.55,1.482283232,5.462461894,5,1.414213562,1.075311557,1,2.121320344,2.916953461,54.77912577,9.656854249,0.785714286,1,0,0.066575118,0.092835897,0.00641642,0.002052339,0.153116389,0.009933623,0.013946746,0.007397235,0.008439627,0.00843061,0.005065995,0.005065995,0.001730893,0.002731675,0.010528726,495.971236,351.4589086,0,495.8181818,351.4545455,0,496,352,0,15,5
1,16,4,6,501,355,498,353,499,353.5,0.387647356,4,0.924176372,2.256758334,1,0.666666667,2.579664183,3.236067977,2.236067977,1,1,1,0.707106781,1.236067977,-58.28252559,4.414213562,1,1,0,0.027603572,0.027603572,0.00657664,0.000793468,0.020085828,0.007537956,0.007537956,0.006900893,0.006900893,0.007370108,0.006118868,0.006118868,0.000579378,0.000579378,0.007537956,498.9834162,353.5113322,0,499,353.5,0,499,354,0,16,5
1,17,14,20,504,358,500,353,501.2857143,355,0.772368997,16,0.711683572,4.222008246,1,0.7,1.294717944,5.014265364,4.123105626,2,1.160188621,1,3,3.522522287,0,11.65685425,0.875,1,1,0.060288398,0.089723052,0.005600061,0.00094606,0.061564685,0.007370108,0.00796521,0.00602884,0.006408789,0.006500344,0.004974441,0.004974441,0.000774896,0.00093337,0.007408256,501.2792517,354.9387755,0,501.2857143,355,0,501,355,0,17,5
1,18,10,16,510,359,506,355,507.3,356.7,0.654797425,10,0.6164414,3.568248232,1,0.625,1.527189878,4,3.16227766,1.414213562,1.124264069,1,2.121320344,3.14960315,-45,9.071067812,1,1,1,0.03996338,0.059266042,0.005493248,0.000534065,0.045179343,0.006561379,0.006927595,0.005709054,0.005926604,0.006179904,0.004882888,0.004882888,0.000569098,0.000611283,0.006507973,507.2937694,356.6552524,0,507.3,356.7,0,507,356,0,18,5
1,19,1,1,951,358,950,357,950,357,0,1,0,1.128379167,1,1,inf,0,0,1,1,1,0,0,45,0,1,1,1,0.004882887,0.004882887,0.004882887,0,0,0.004882887,0.004882887,0.004882887,0.004882887,0.004882887,0.004882887,0.004882887,0,0,0.004882887,950,357,0,950,357,0,950,357,0,19,7
1,20,3,4,518,361,516,359,516.6666667,359.6666667,0.309207662,3,0.816496581,1.954410048,1,0.75,3.234072507,2.309401077,1.414213562,1,1,1,0.707106781,1.333333333,45,3.414213562,1,1,1,0.017837797,0.017837797,0.005947204,0.000732433,0.059234506,0.006530861,0.006530861,0.005945932,0.005945932,0.006385901,0.005065995,0.005065995,0.000633367,0.000633367,0.006530861,516.7159966,359.6338751,0,516.6666667,359.6666667,0,517,359,0,20,5
1,21,1,1,521,360,520,359,520,359,0,1,0,1.128379167,1,1,inf,0,0,1,1,1,0,0,45,0,1,1,0,0.005371176,0.005371176,0.005371176,0,0,0.005371176,0.005371176,0.005371176,0.005371176,0.005371176,0.005371176,0.005371176,0,0,0.005371176,520,359,0,520,359,0,520,359,0,21,5
1,22,99,156,384,367,371,355,377.2525253,360.4242424,1.249093696,113,0.285475612,11.22723096,1,0.634615385,0.800580455,11.70677648,12.36931688,5,2.04669709,2,10.4,11.21961038,82.11242643,39.42031022,0.876106195,1,1,0.185381866,0.688502355,0.005779355,0.001060503,0.045567107,0.006805523,0.010727094,0.005617632,0.006954569,0.006683452,0.004882888,0.004882888,0.000557385,0.001479534,0.007904173,377.2207176,360.3916137,0,377.2525253,360.4242424,0,376,360,0,22,8
1,23,2,2,134,376,132,375,132.5,375,0,2,1,1.595769122,1,1,inf,2,1,1,1,1,0,0,90,0,1,1,1,0.010086214,0.010086214,0.005043107,7.63E-05,0.00378209,0.005081254,0.005081254,0.005043107,0.005043107,0.005081254,0.00500496,0.00500496,3.81E-05,3.81E-05,0.005081254,132.4962179,375,0,132.5,375,0,132,375,0,23,9
1,24,2,2,122,397,121,395,121,395.5,0,2,1,1.595769122,1,1,inf,2,1,1,1,1,0,0,0,0,1,1,1,0.011184862,0.011184862,0.005592431,7.63E-05,0.00341059,0.005630578,0.005630578,0.005592431,0.005592431,0.005630578,0.005554284,0.005554284,3.81E-05,3.81E-05,0.005630578,121,395.4965894,0,121,395.5,0,121,395,0,24,9
